Material,Material share,Country,Mining share,Label,Area,Stakeholder,Indicator,Value
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,0.000541105,Value Chain Actors,Public sector corruption,2
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,7.73E-05,Workers,"Children in employment, total",2
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,7.73E-05,Workers,Evidence of violations of laws and employment regulations,3
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,7.73E-05,Workers,"Sector average wage, per month",3
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,7.73E-05,Workers,Trade union density,4
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,7.73E-05,Workers,Weekly hours of work per employee,3
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,7.73E-05,Workers,Women in the sectoral labour force,5
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,7.73E-05,Workers,Workers affected by natural disasters,1
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,0.000152186,Local Community,Drinking water coverage,2
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,0.000152186,Local Community,International Migrant Stock,1
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,0.000152186,Local Community,Presence of indigenous population,3
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,0.000152186,Local Community,Sanitation coverage,5
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,0.000101457,Society,Embodied value added total,4
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,0.000101457,Society,Global Peace Index,3
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,0.000101457,Society,"Health expenditure, total",2
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,0.000101457,Society,"Illiteracy rate, total",1
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,0.000101457,Society,Life expectancy at birth,1
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,0.000101457,Society,Public expenditure on education,2
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,0.000608743,Value Chain Actors,Public sector corruption,5
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,8.69633E-05,Workers,"Children in employment, total",4
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,8.69633E-05,Workers,Evidence of violations of laws and employment regulations,4
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,8.69633E-05,Workers,"Sector average wage, per month",3
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,8.69633E-05,Workers,Trade union density,5
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,8.69633E-05,Workers,Weekly hours of work per employee,2
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,8.69633E-05,Workers,Women in the sectoral labour force,3
Cobalt,0.094693347,Cuba,0.025714286,Cuba 2.6%,8.69633E-05,Workers,Workers affected by natural disasters,2
Cobalt,0.094693347,DRC,0.678571429,DRC 67.9%,0.004016012,Local Community,Drinking water coverage,4
Cobalt,0.094693347,DRC,0.678571429,DRC 67.9%,0.004016012,Local Community,International Migrant Stock,1
Cobalt,0.094693347,DRC,0.678571429,DRC 67.9%,0.004016012,Local Community,Presence of indigenous population,3
Cobalt,0.094693347,DRC,0.678571429,DRC 67.9%,0.004016012,Local Community,Sanitation coverage,5
Cobalt,0.094693347,DRC,0.678571429,DRC 67.9%,2.68E-03,Society,Embodied value added total,3
Cobalt,0.094693347,DRC,0.678571429,DRC 67.9%,2.68E-03,Society,Global Peace Index,5
Cobalt,0.094693347,DRC,0.678571429,DRC 67.9%,2.68E-03,Society,"Health expenditure, total",4
Cobalt,0.094693347,DRC,0.678571429,DRC 67.9%,2.68E-03,Society,"Illiteracy rate, total",5
Cobalt,0.094693347,DRC,0.678571429,DRC 67.9%,2.68E-03,Society,Life expectancy at birth,5
Cobalt,0.094693347,DRC,0.678571429,DRC 67.9%,2.68E-03,Society,Public expenditure on education,4
Cobalt,0.094693347,DRC,0.678571429,DRC 67.9%,0.01606405,Value Chain Actors,Public sector corruption,5
Cobalt,0.094693347,DRC,0.678571429,DRC 67.9%,2.29E-03,Workers,"Children in employment, total",5
Cobalt,0.094693347,DRC,0.678571429,DRC 67.9%,2.29E-03,Workers,Evidence of violations of laws and employment regulations,4
Cobalt,0.094693347,DRC,0.678571429,DRC 67.9%,2.29E-03,Workers,"Sector average wage, per month",3
