Material,Material share,Country,Mining share,Label,Area,Stakeholder,Indicator,Value
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.031697097,Value Chain Actors,Public sector corruption,5
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.004528157,Workers,"Children in employment, total",5
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.004528157,Workers,Evidence of violations of laws and employment regulations,1
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.004528157,Workers,"Sector average wage, per month",3
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.004528157,Workers,Trade union density,4
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.004528157,Workers,Weekly hours of work per employee,2
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.004528157,Workers,Women in the sectoral labour force,4
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.004528157,Workers,Workers affected by natural disasters,1
Manganese,0.451074067,Rest of the world,0.178378378,Rest of the world 17.8%,0.080461861,,,3.352264643
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,0.00014048,Local Community,Drinking water coverage,1
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,0.00014048,Local Community,International Migrant Stock,2
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,0.00014048,Local Community,Presence of indigenous population,3
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,0.00014048,Local Community,Sanitation coverage,5
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,9.37E-05,Society,Embodied value added total,5
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,9.37E-05,Society,Global Peace Index,2
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,9.37E-05,Society,"Health expenditure, total",3
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,9.37E-05,Society,"Illiteracy rate, total",1
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,9.37E-05,Society,Life expectancy at birth,1
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,9.37E-05,Society,Public expenditure on education,2
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,0.000561922,Value Chain Actors,Public sector corruption,5
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,8.03E-05,Workers,"Children in employment, total",3
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,8.03E-05,Workers,Evidence of violations of laws and employment regulations,4
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,8.03E-05,Workers,"Sector average wage, per month",2
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,8.03E-05,Workers,Trade union density,4
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,8.03E-05,Workers,Weekly hours of work per employee,3
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,8.03E-05,Workers,Women in the sectoral labour force,3
Lithium,0.037993162,Argentina,0.059160305,Argentina 5.9%,8.03E-05,Workers,Workers affected by natural disasters,1
Lithium,0.037993162,Australia,0.52480916,Australia 52.5%,0.001246197,Local Community,Drinking water coverage,1
Lithium,0.037993162,Australia,0.52480916,Australia 52.5%,0.001246197,Local Community,International Migrant Stock,5
Lithium,0.037993162,Australia,0.52480916,Australia 52.5%,0.001246197,Local Community,Presence of indigenous population,3
Lithium,0.037993162,Australia,0.52480916,Australia 52.5%,0.001246197,Local Community,Sanitation coverage,3
Lithium,0.037993162,Australia,0.52480916,Australia 52.5%,0.000830798,Society,Embodied value added total,5
Lithium,0.037993162,Australia,0.52480916,Australia 52.5%,0.000830798,Society,Global Peace Index,1
Lithium,0.037993162,Australia,0.52480916,Australia 52.5%,0.000830798,Society,"Health expenditure, total",3
Lithium,0.037993162,Australia,0.52480916,Australia 52.5%,0.000830798,Society,"Illiteracy rate, total",3
Lithium,0.037993162,Australia,0.52480916,Australia 52.5%,0.000830798,Society,Life expectancy at birth,0
Lithium,0.037993162,Australia,0.52480916,Australia 52.5%,0.000830798,Society,Public expenditure on education,2
Lithium,0.037993162,Australia,0.52480916,Australia 52.5%,0.00498479,Value Chain Actors,Public sector corruption,2
Lithium,0.037993162,Australia,0.52480916,Australia 52.5%,0.000712113,Workers,"Children in employment, total",2
